station,date,tavg,preciptotal,sealevel,resultspeed,resultdir,humidity,trange
2,2007-05-18,57.0,0.0,30.26,3.4,22,37.01329899925189,27
1,2007-05-19,68.0,0.0,30.08,11.1,24,34.52768660164003,24
2,2007-05-19,68.0,0.0,30.08,11.1,23,31.921967677082066,24
1,2007-05-20,56.0,0.07,30.11,10.4,4,54.84885958603458,26
2,2007-05-20,57.0,0.11,30.11,8.6,3,54.9936389390944,25
1,2007-05-21,62.0,0.0,30.06,6.3,11,64.73130403319603,36
2,2007-05-21,63.0,0.0,30.05,6.3,10,62.489911541258955,33
1,2007-05-22,71.0,0.0,30.06,10.0,18,40.78437873189862,32
2,2007-05-22,74.0,0.0,30.05,10.1,16,34.154590084423795,27
1,2007-05-23,75.0,0.0,30.1,11.4,19,39.89579869755478,29
2,2007-05-23,78.0,0.0,30.1,10.9,18,34.78375150043124,23
1,2007-05-24,76.0,0.02,30.11,14.9,21,46.4176905261899,25
2,2007-05-24,77.0,0.05,30.1,13.8,20,43.285691086399886,22
1,2007-05-25,63.0,0.05,30.24,4.9,5,49.84159040609186,14
2,2007-05-25,62.0,0.09,30.23,4.5,5,55.7089809078481,9
1,2007-05-26,57.0,1.01,30.11,2.8,17,93.00883719986737,16
2,2007-05-26,60.0,0.28,30.1,2.5,15,83.52505989004503,20
1,2007-05-27,66.0,0.04,30.06,8.9,26,50.29229115862627,18
2,2007-05-27,67.0,0.08,30.05,8.2,24,52.36594383575726,16
1,2007-05-28,65.0,0.05,30.15,4.8,10,52.07291087810838,29
2,2007-05-28,65.0,0.0,30.14,4.7,8,56.13141013840536,22
1,2007-05-29,74.0,0.0,30.11,5.8,18,57.36879214984288,28
2,2007-05-29,77.0,0.0,30.09,5.8,16,53.79912917163951,23
1,2007-05-30,77.0,0.0,30.04,10.3,19,51.904648026246356,21
2,2007-05-30,80.0,0.0,30.03,9.7,17,45.35622683576624,19
1,2007-05-31,72.0,0.01,30.0,9.3,19,68.30702534158651,13
2,2007-05-31,74.0,0.53,29.99,8.9,18,63.85321833711421,12
1,2007-06-01,74.0,0.19,29.91,4.2,17,68.52628458711716,23
2,2007-06-01,77.0,0.21,29.9,4.7,16,61.99943468829765,19
1,2007-06-02,73.0,0.04,29.77,6.5,22,70.87089690607739,16
2,2007-06-02,75.0,0.05,29.76,7.5,21,63.97388267125127,13
1,2007-06-03,70.0,0.01,29.56,5.2,25,70.55990715762363,16
2,2007-06-03,71.0,0.32,29.54,4.9,24,68.19661499378506,13
1,2007-06-04,65.0,0.39,29.52,7.8,31,78.05567169406697,13
2,2007-06-04,64.0,0.31,29.51,7.9,30,77.9727683279775,16
1,2007-06-05,56.0,0.42,29.79,5.2,5,74.45268533078975,17
2,2007-06-05,57.0,0.27,29.78,6.2,3,69.15818623814671,12
1,2007-06-06,58.0,0.01,29.81,10.8,17,69.26922228337513,27
2,2007-06-06,61.0,0.05,29.82,9.6,15,59.937731910787726,25
1,2007-06-07,81.0,0.0,29.55,22.7,20,52.47550009737232,20
2,2007-06-07,82.0,0.0,29.55,20.3,19,49.028793104657076,21
1,2007-06-08,69.0,0.0,29.85,10.9,28,56.686850696229826,24
2,2007-06-08,72.0,0.0,29.83,9.3,26,53.08915754692025,18
1,2007-06-09,66.0,0.0,30.07,0.3,33,50.29229115862627,27
2,2007-06-09,68.0,0.0,30.05,2.4,19,50.59013056579321,22
1,2007-06-10,68.0,0.0,30.05,4.8,17,54.497276281177406,26
2,2007-06-10,71.0,0.0,30.04,4.6,16,47.38959457661924,20
1,2007-06-11,72.0,0.0,30.11,4.9,11,49.33072796792948,28
2,2007-06-11,75.0,0.0,30.09,6.6,9,42.97700637975792,20
1,2007-06-12,73.0,0.0,30.16,8.3,5,44.28716078510459,21
2,2007-06-12,74.0,0.0,30.14,9.4,5,44.44124230610644,16
1,2007-06-13,74.0,0.0,30.09,7.2,5,47.84249406223293,27
2,2007-06-13,77.0,0.0,29.32,7.0,5,43.285691086399886,18
1,2007-06-14,77.0,0.0,30.02,5.6,5,46.56871566103546,25
2,2007-06-14,79.0,0.0,30.0,5.9,7,42.0312913786929,21
1,2007-06-15,77.0,0.0,29.99,4.1,6,48.29099965563686,28
2,2007-06-15,78.0,0.0,29.97,3.8,9,46.71927056208743,22
1,2007-06-16,80.0,0.05,29.97,4.8,28,50.506158550756396,27
2,2007-06-16,80.0,0.05,29.96,2.1,22,52.333551547067955,24
1,2007-06-17,81.0,0.0,29.95,2.8,11,56.298962921134255,21
2,2007-06-17,81.0,0.16,29.93,4.0,11,58.300877006286115,20
1,2007-06-18,79.0,0.28,29.84,14.0,20,62.247329201951004,20
2,2007-06-18,81.0,0.02,29.83,12.2,20,58.300877006286115,16
1,2007-06-19,73.0,0.58,29.95,10.7,28,53.23220547500601,15
2,2007-06-19,73.0,0.93,29.93,10.1,29,53.23220547500601,16
1,2007-06-20,73.0,0.0,30.1,7.8,27,47.6920165941982,23
2,2007-06-20,74.0,0.0,30.09,5.9,28,42.82201462100089,23
1,2007-06-21,69.0,0.01,30.08,3.5,3,52.65682980666182,16
2,2007-06-21,73.0,0.05,30.06,3.7,2,45.9617900026378,14
1,2007-06-22,69.0,0.05,30.06,7.8,6,50.738265153460794,15
2,2007-06-22,69.0,0.05,30.05,6.5,7,48.88163366835733,13
1,2007-06-23,65.0,0.05,29.96,7.6,12,78.05567169406697,5
2,2007-06-23,65.0,0.34,29.95,7.3,11,83.84471247176181,7
1,2007-06-24,70.0,0.0,29.97,7.0,9,75.74671784055894,14
2,2007-06-24,70.0,0.0,29.96,5.6,10,75.74671784055894,10
1,2007-06-25,77.0,0.0,30.07,3.9,14,68.85131182953751,24
2,2007-06-25,77.0,0.0,30.06,4.0,12,71.27854110531861,19
1,2007-06-26,81.0,0.16,30.11,6.1,22,66.9476486991263,22
2,2007-06-26,82.0,0.05,30.09,7.3,21,64.80371344799588,18
1,2007-06-27,81.0,0.15,30.02,7.5,24,69.27758930469994,20
2,2007-06-27,80.0,0.35,30.0,7.9,24,69.17177159414872,18
1,2007-06-28,66.0,0.0,30.09,11.9,3,67.63664253243361,16
1,2007-06-29,63.0,0.0,30.13,7.6,2,75.11151657294913,14
1,2007-06-30,67.0,0.0,30.13,4.9,3,46.77886660025213,25
2,2007-06-30,68.0,0.0,30.11,5.1,4,50.59013056579321,19
1,2007-07-01,65.0,0.0,30.23,8.6,4,62.7427719811493,21
2,2007-07-01,69.0,0.0,30.21,9.5,4,52.65682980666182,15
1,2007-07-02,66.0,0.0,30.22,5.9,14,56.27110197801161,26
2,2007-07-02,68.0,0.0,30.21,7.4,12,52.51165450423614,19
1,2007-07-03,72.0,0.4,30.06,6.7,21,59.200051291818134,23
2,2007-07-03,73.0,0.09,30.05,6.4,21,55.200930061577466,20
1,2007-07-04,77.0,0.16,29.9,4.6,27,66.49695902904085,19
2,2007-07-04,76.0,0.66,29.88,3.1,25,68.74348058795903,17
1,2007-07-05,80.0,0.0,29.94,6.4,31,50.506158550756396,18
2,2007-07-05,79.0,0.0,29.92,4.3,33,52.19109419072684,18
1,2007-07-06,76.0,0.0,30.03,3.2,5,51.76065673239512,20
2,2007-07-06,76.0,0.0,30.01,3.3,7,51.76065673239512,16
1,2007-07-07,77.0,0.0,29.91,8.4,22,61.99943468829765,26
2,2007-07-07,78.0,0.0,29.9,7.4,23,57.904610033841074,20
1,2007-07-08,85.0,0.0,29.77,12.9,24,54.90799943648251,19
2,2007-07-08,84.0,0.0,29.76,12.6,23,56.702052433516606,18
1,2007-07-09,82.0,0.3,29.8,4.9,24,58.43191052377349,24
2,2007-07-09,83.0,0.24,29.79,4.8,23,58.56241959730853,21
1,2007-07-10,79.0,0.43,29.77,8.6,23,66.72333408930567,20
2,2007-07-10,80.0,0.08,29.76,8.2,23,64.56924007445551,19
1,2007-07-11,70.0,0.0,29.93,8.8,30,50.88587779810227,15
2,2007-07-11,70.0,0.0,29.92,9.1,30,50.88587779810227,14
1,2007-07-12,71.0,0.0,29.93,9.4,29,49.18153603952177,19
2,2007-07-12,70.0,0.0,29.92,10.0,28,50.88587779810227,20
1,2007-07-13,68.0,0.0,29.98,1.4,1,56.54882032643535,20
2,2007-07-13,67.0,0.0,29.98,2.0,7,60.72752109564434,15
1,2007-07-14,73.0,0.0,29.79,8.3,26,53.23220547500601,23
2,2007-07-14,74.0,0.0,29.79,8.4,25,51.47113160447879,23
1,2007-07-15,71.0,0.0,29.89,2.1,29,52.9455799128056,22
2,2007-07-15,72.0,0.0,29.88,1.2,9,49.33072796792948,16
1,2007-07-16,74.0,0.39,29.96,4.4,24,61.62357940507553,17
2,2007-07-16,74.0,0.07,29.94,5.6,23,61.62357940507553,16
1,2007-07-17,76.0,0.11,29.9,5.2,23,71.1773724290501,15
2,2007-07-17,76.0,0.11,29.89,6.3,23,68.74348058795903,14
1,2007-07-18,77.0,1.55,29.84,9.1,24,73.78055835142726,16
2,2007-07-18,77.0,0.92,29.83,10.3,24,76.35931535226167,16
1,2007-07-19,73.0,0.16,29.9,7.0,1,70.87089690607739,20
2,2007-07-19,73.0,0.01,29.88,7.7,36,68.41691426823859,19
1,2007-07-20,67.0,0.0,30.14,8.6,3,60.72752109564434,17
2,2007-07-20,68.0,0.0,30.12,11.3,4,56.54882032643535,12
1,2007-07-21,66.0,0.0,30.22,6.5,3,60.59729912087231,16
2,2007-07-21,67.0,0.0,30.21,5.8,4,58.53379534850804,17
1,2007-07-22,70.0,0.0,30.21,1.7,16,58.9352047117653,23
2,2007-07-22,71.0,0.0,30.2,1.9,18,54.92109027968242,20
1,2007-07-23,72.0,0.0,30.1,3.2,9,55.06127932824511,23
2,2007-07-23,73.0,0.0,30.09,2.9,12,53.23220547500601,19
1,2007-07-24,74.0,0.0,30.04,3.1,20,57.36879214984288,17
2,2007-07-24,74.0,0.05,30.03,1.1,21,55.34004418727664,17
1,2007-07-25,78.0,0.05,30.0,5.8,25,55.89116901040809,14
2,2007-07-25,77.0,0.0,29.99,6.4,23,55.754184100364554,13
1,2007-07-26,75.0,0.19,29.92,7.2,22,71.07571072806151,17
2,2007-07-26,74.0,0.89,29.91,7.2,22,73.49727560438572,20
1,2007-07-27,77.0,0.17,29.82,3.0,3,73.78055835142726,13
2,2007-07-27,77.0,0.04,29.8,1.2,36,71.27854110531861,13
1,2007-07-28,73.0,0.0,29.93,10.0,3,76.01196932855785,14
2,2007-07-28,75.0,0.0,29.91,10.6,3,71.07571072806151,10
1,2007-07-29,74.0,0.0,29.99,4.8,5,55.34004418727664,22
2,2007-07-29,76.0,0.0,29.97,6.3,5,49.922454287730936,18
1,2007-07-30,76.0,0.0,30.03,3.8,6,48.141984953815566,27
2,2007-07-30,76.0,0.0,30.01,3.1,6,51.76065673239512,21
1,2007-07-31,80.0,0.0,30.04,3.3,4,52.333551547067955,23
2,2007-07-31,79.0,0.0,30.02,4.0,7,52.19109419072684,20
1,2007-08-01,81.0,0.0,30.0,3.5,9,52.47550009737232,23
2,2007-08-01,80.0,0.0,29.98,2.1,13,56.1635566720445,22
1,2007-08-02,81.0,0.0,29.97,5.5,26,60.365044075809024,21
2,2007-08-02,82.0,0.0,29.95,6.5,23,58.43191052377349,18
1,2007-08-03,80.0,0.0,30.02,2.7,3,43.74546815700187,21
2,2007-08-03,81.0,0.0,30.0,3.3,6,45.50714115078846,15
1,2007-08-04,73.0,0.03,30.03,5.7,8,59.331653227294,17
2,2007-08-04,75.0,0.02,30.01,5.9,9,55.478623420120435,13
1,2007-08-05,78.0,1.43,29.81,5.4,21,79.09417564153422,21
2,2007-08-05,78.0,0.97,29.79,7.0,22,79.09417564153422,20
1,2007-08-06,81.0,0.26,29.83,1.6,10,74.15172617530648,14
2,2007-08-06,80.0,0.05,29.81,2.6,10,76.61518165278144,10
1,2007-08-07,82.0,1.31,29.76,6.2,25,74.24336845181534,19
2,2007-08-07,83.0,0.06,29.74,6.3,24,71.87535626747479,19
1,2007-08-08,80.0,0.06,29.83,3.0,3,74.05962679431985,14
2,2007-08-08,81.0,0.09,29.81,1.5,4,74.15172617530648,13
1,2007-08-09,78.0,0.05,29.84,2.5,29,79.09417564153422,12
2,2007-08-09,79.0,0.46,29.82,3.1,27,76.53032954125824,12
1,2007-08-10,78.0,0.0,29.96,4.5,2,71.37921957347292,16
2,2007-08-10,80.0,0.0,29.94,3.0,6,69.17177159414872,13
1,2007-08-11,78.0,0.0,30.02,3.2,19,64.33267984899061,22
2,2007-08-11,78.0,0.0,30.0,3.1,20,64.33267984899061,20
1,2007-08-12,78.0,0.29,30.06,1.7,6,68.9586355825529,21
2,2007-08-12,78.0,0.23,30.04,1.9,6,68.9586355825529,19
1,2007-08-13,73.0,0.0,30.11,6.2,6,57.23349208270923,16
2,2007-08-13,75.0,0.0,30.08,6.9,8,47.992483305857384,11
1,2007-08-14,75.0,0.41,29.93,5.9,25,76.18653608667044,19
2,2007-08-14,75.0,0.45,29.92,6.4,23,73.59217615810955,19
1,2007-08-15,76.0,0.23,29.89,3.4,7,73.68660279143874,9
2,2007-08-15,77.0,0.83,29.87,4.9,6,76.35931535226167,9
1,2007-08-16,71.0,0.0,29.97,3.6,1,78.543897108773,12
2,2007-08-16,72.0,0.0,29.95,3.5,1,78.62376240366078,10
1,2007-08-17,70.0,0.0,30.1,5.9,32,56.82433111207962,19
2,2007-08-17,73.0,0.0,30.08,6.1,31,51.325595364126016,15
1,2007-08-18,64.0,0.09,30.16,6.4,12,69.92407087163488,9
2,2007-08-18,65.0,0.42,30.15,6.1,13,67.52304382783947,9
1,2007-08-19,65.0,1.33,29.99,6.0,10,90.0080801386818,6
2,2007-08-19,66.0,1.33,29.98,5.5,10,90.04829834149889,7
1,2007-08-20,73.0,0.91,29.87,0.5,12,84.33777454399561,10
2,2007-08-20,72.0,0.48,29.85,2.4,20,90.28468000981043,8
1,2007-08-21,78.0,0.05,29.91,3.8,18,76.44504169240159,18
2,2007-08-21,77.0,0.01,29.89,3.5,17,79.01680479229573,16
1,2007-08-22,80.0,0.37,29.94,5.3,21,74.05962679431985,21
2,2007-08-22,80.0,0.88,29.93,5.1,21,71.5791170727178,20
1,2007-08-23,78.0,2.35,29.87,9.6,21,73.87404566725823,18
2,2007-08-23,80.0,1.96,29.86,6.7,21,69.17177159414872,19
1,2007-08-24,75.0,0.24,29.82,5.8,25,76.18653608667044,11
2,2007-08-24,75.0,0.2,29.81,5.5,25,76.18653608667044,12
1,2007-08-25,72.0,0.34,29.93,3.0,36,73.30604125769314,15
2,2007-08-25,71.0,0.25,29.91,2.4,3,75.83559235050328,11
1,2007-08-26,70.0,0.0,30.08,3.6,11,58.9352047117653,19
2,2007-08-26,70.0,0.0,30.07,3.7,11,58.9352047117653,17
1,2007-08-27,70.0,0.0,30.07,6.5,17,70.55990715762363,19
2,2007-08-27,71.0,0.0,30.06,6.4,16,65.80525853476206,16
1,2007-08-28,79.0,0.0,29.99,9.0,20,64.45122207118804,24
2,2007-08-28,80.0,0.0,29.98,7.8,21,60.23773838781599,21
1,2007-08-29,77.0,0.05,30.04,5.6,3,66.49695902904085,17
2,2007-08-29,78.0,0.05,30.02,5.3,3,62.123647934918836,17
1,2007-08-30,66.0,0.0,30.18,9.1,2,65.21411080812129,18
2,2007-08-30,68.0,0.0,30.15,10.8,3,60.85718486364794,15
1,2007-08-31,67.0,0.0,30.19,3.9,4,58.53379534850804,20
2,2007-08-31,67.0,0.0,30.17,3.0,6,62.99339197054547,19
1,2007-09-01,69.0,0.0,30.22,4.2,11,60.98629282649291,24
2,2007-09-01,70.0,0.0,30.2,4.4,11,61.11484738287635,19
1,2007-09-02,73.0,0.0,30.15,4.2,21,57.23349208270923,24
2,2007-09-02,73.0,0.0,30.13,4.8,21,55.200930061577466,22
1,2007-09-03,77.0,0.0,30.09,2.0,27,57.7714589924489,22
2,2007-09-03,76.0,0.0,30.07,3.0,25,59.72319979400966,24
1,2007-09-04,76.0,0.0,30.0,2.8,22,57.63777364205565,26
2,2007-09-04,79.0,0.0,29.99,2.2,24,50.36098121213036,23
1,2007-09-05,78.0,0.05,29.96,6.4,19,59.98153661250495,24
2,2007-09-05,82.0,0.0,29.94,6.4,19,50.79502174353099,19
1,2007-09-06,78.0,0.18,29.92,11.9,20,68.9586355825529,9
2,2007-09-06,79.0,0.08,29.91,12.8,20,64.45122207118804,10
1,2007-09-07,77.0,0.19,29.85,10.4,23,73.78055835142726,14
2,2007-09-07,78.0,0.67,29.84,9.5,23,68.9586355825529,13
1,2007-09-08,71.0,0.0,30.0,6.0,5,61.24285092838859,14
2,2007-09-08,73.0,0.0,29.98,8.4,5,59.331653227294,10
1,2007-09-09,72.0,0.0,30.06,9.2,3,63.61027648899768,17
2,2007-09-09,71.0,0.0,30.03,10.1,3,65.80525853476206,16
1,2007-09-10,64.0,0.36,30.04,7.2,2,80.83122457253185,20
2,2007-09-10,64.0,0.25,30.01,7.4,3,83.78150430151231,18
1,2007-09-11,61.0,0.05,29.92,11.7,29,53.489222585624475,21
2,2007-09-11,61.0,0.05,29.91,12.1,29,53.489222585624475,20
1,2007-09-12,57.0,0.0,30.12,1.8,3,57.15918089979204,21
2,2007-09-12,56.0,0.0,30.11,1.9,5,61.5869532980018,20
1,2007-09-13,64.0,0.0,29.99,8.3,19,49.99235094090568,28
2,2007-09-13,66.0,0.0,29.98,7.1,20,43.19591684569223,26
1,2007-09-14,56.0,0.0,30.05,12.1,32,52.75252146814352,21
2,2007-09-14,57.0,0.0,30.04,11.7,32,52.900984227741645,20
1,2007-09-15,50.0,0.0,30.28,1.4,33,51.8498399585023,22
2,2007-09-15,52.0,0.0,30.28,1.1,35,52.153011439233396,20
1,2007-09-16,58.0,0.0,30.19,6.8,18,51.03023255339122,27
2,2007-09-16,61.0,0.0,30.2,7.7,18,42.40289605084187,23
1,2007-09-17,66.0,0.0,30.12,11.7,17,54.212011086396494,28
2,2007-09-17,68.0,0.0,30.12,10.6,17,48.73092155991871,25
1,2007-09-18,76.0,0.0,30.06,12.9,19,53.65818551881196,25
2,2007-09-18,78.0,0.0,30.05,12.5,19,48.43952808118265,23
1,2007-09-19,75.0,0.0,30.11,5.0,26,57.503552015891614,19
2,2007-09-19,76.0,0.0,30.09,3.5,25,55.61666948175095,16
1,2007-09-20,69.0,0.0,30.12,5.3,7,70.4552272678883,18
2,2007-09-20,70.0,0.0,30.1,5.6,8,68.08568039805756,13
1,2007-09-21,76.0,0.0,29.9,10.3,21,55.61666948175095,24
2,2007-09-21,79.0,0.0,29.89,9.8,22,50.36098121213036,22
1,2007-09-22,63.0,0.0,30.12,2.6,3,47.96972029596404,23
2,2007-09-22,65.0,0.0,30.1,4.3,1,48.27573196984521,14
1,2007-09-23,67.0,0.0,30.16,4.6,13,54.354917050774056,34
2,2007-09-23,69.0,0.0,30.15,5.9,12,50.738265153460794,28
1,2007-09-24,79.0,0.0,29.99,11.4,19,58.03722873540538,22
2,2007-09-24,81.0,0.0,29.98,10.0,19,52.47550009737232,20
1,2007-09-25,74.0,0.27,29.95,7.9,23,73.49727560438572,22
2,2007-09-25,75.0,0.01,29.93,7.3,23,73.59217615810955,16
1,2007-09-26,61.0,0.09,30.03,4.3,1,67.06320485667815,16
2,2007-09-26,62.0,0.14,30.02,4.8,2,67.17898708854047,13
1,2007-09-27,62.0,0.05,29.97,4.9,24,62.362634612270064,26
2,2007-09-27,63.0,0.05,29.97,4.5,25,60.203259900373716,22
1,2007-09-28,63.0,0.0,30.17,2.3,4,53.77999626270204,20
2,2007-09-28,63.0,0.0,30.16,3.1,7,53.77999626270204,20
1,2007-09-29,65.0,0.0,30.23,9.5,17,50.14258417997887,30
2,2007-09-29,67.0,0.0,30.23,8.4,17,45.037248533924036,30
1,2007-09-30,71.0,0.14,30.1,14.4,19,45.655498759761414,24
2,2007-09-30,73.0,0.14,30.1,12.9,19,41.09857475841559,23
1,2007-10-01,64.0,0.29,30.0,6.1,22,83.78150430151231,10
2,2007-10-01,64.0,0.17,30.0,7.9,21,83.78150430151231,9
1,2007-10-02,68.0,0.09,29.92,10.8,19,72.91775824653783,21
2,2007-10-02,70.0,0.11,29.92,10.0,19,68.08568039805756,21
1,2007-10-03,65.0,0.0,29.98,5.9,26,54.06855673054477,19
2,2007-10-03,65.0,0.05,29.97,4.8,25,52.07291087810838,18
1,2007-10-04,67.0,0.0,30.04,3.9,17,67.74970265494606,31
2,2007-10-04,70.0,0.0,30.03,4.6,17,61.11484738287635,27
1,2007-10-05,73.0,0.0,30.08,7.0,17,76.01196932855785,22
2,2007-10-05,77.0,0.06,30.06,6.8,18,66.49695902904085,17
1,2007-10-06,78.0,0.0,30.04,6.9,20,68.9586355825529,18
2,2007-10-06,80.0,0.0,30.03,6.4,21,62.370480849121655,17
1,2007-10-07,77.0,0.0,30.03,5.2,19,68.85131182953751,20
2,2007-10-07,79.0,0.0,30.01,5.3,19,62.247329201951004,18
1,2007-10-08,74.0,0.0,29.93,7.7,24,63.85321833711421,27
2,2007-10-08,75.0,0.0,29.92,7.3,24,59.593225297204334,26
1,2007-10-09,63.0,0.0,29.94,11.5,28,49.84159040609186,27
2,2007-10-09,64.0,0.0,29.93,12.1,28,48.12298181363036,27
1,2007-10-10,51.0,0.05,29.93,15.1,31,60.92452053907438,7
2,2007-10-10,50.0,0.05,29.93,14.4,31,60.7902530942096,6
1,2007-10-11,50.0,0.0,30.01,11.9,36,65.75242568076895,8
2,2007-10-11,52.0,0.0,30.0,14.6,36,61.058190785103065,8
1,2007-10-12,49.0,0.0,30.02,3.4,35,58.295782999102364,15
2,2007-10-12,51.0,0.0,30.02,2.8,36,54.11630588918709,12
1,2007-10-13,50.0,0.0,30.04,2.7,20,71.06976250052685,19
2,2007-10-13,52.0,0.0,30.04,3.6,21,63.48458878826907,15
1,2007-10-14,57.0,0.15,30.06,5.6,11,74.548291053835,8
2,2007-10-14,59.0,0.01,30.06,5.7,12,64.36331357961544,8
1,2007-10-15,63.0,0.07,29.95,4.1,14,67.29421903239448,23
2,2007-10-15,66.0,0.04,29.94,6.6,16,56.27110197801161,22
1,2007-10-16,60.0,0.24,29.88,6.4,21,80.53345504712736,15
2,2007-10-16,62.0,0.19,29.88,6.5,21,77.8056216717131,12
1,2007-10-17,60.0,0.04,29.83,9.3,14,77.63666850272651,25
2,2007-10-17,62.0,0.11,29.83,8.6,14,72.32044209638802,24
1,2007-10-18,69.0,0.3,29.34,17.2,19,63.24179235088773,19
2,2007-10-18,70.0,0.34,29.34,15.5,19,63.365166672408776,19
1,2007-10-19,56.0,0.01,29.44,16.2,24,74.45268533078975,8
2,2007-10-19,57.0,0.05,29.45,17.7,24,71.80860936988302,8
1,2007-10-20,60.0,0.0,29.71,10.9,21,53.34300175842913,26
2,2007-10-20,61.0,0.0,29.72,11.1,21,51.480360585912535,27
1,2007-10-21,70.0,0.0,29.78,18.0,20,43.822199977416545,20
2,2007-10-21,70.0,0.0,29.78,16.7,20,42.19772458011855,18
1,2007-10-22,57.0,0.16,29.97,5.2,36,69.15818623814671,21
2,2007-10-22,57.0,0.15,29.96,5.8,1,69.15818623814671,19
1,2007-10-23,51.0,0.0,29.93,5.2,31,56.306738518536505,15
2,2007-10-23,50.0,0.03,29.93,4.0,31,65.75242568076895,7
1,2007-10-24,49.0,0.0,30.16,13.3,2,58.295782999102364,12
2,2007-10-24,49.0,0.0,30.16,16.0,2,58.295782999102364,8
1,2007-10-25,50.0,0.05,30.2,13.9,6,65.75242568076895,10
2,2007-10-25,51.0,0.05,30.2,14.5,6,65.87445923651394,12
1,2007-10-26,59.0,0.33,30.07,6.2,5,66.82997767863014,12
2,2007-10-26,60.0,0.41,30.06,4.2,6,66.94686937749347,13
1,2007-10-27,46.0,0.01,30.25,9.4,32,73.46836204812732,18
2,2007-10-27,48.0,0.08,30.25,7.9,31,76.5836289292619,18
1,2007-10-28,45.0,0.0,30.52,3.4,23,55.43297539886293,22
2,2007-10-28,45.0,0.0,30.53,3.5,23,55.43297539886293,22
1,2007-10-29,50.0,0.0,30.4,10.2,22,49.80566665796449,22
2,2007-10-29,50.0,0.0,30.41,9.1,22,49.80566665796449,21
1,2007-10-30,54.0,0.0,30.2,12.2,20,54.557575010333494,25
2,2007-10-30,54.0,0.0,30.22,10.8,20,52.453901291366066,24
1,2007-10-31,52.0,0.0,30.02,12.2,25,56.45028047058878,21
2,2007-10-31,53.0,0.0,30.03,12.2,25,56.593232287146236,20
1,2008-05-01,61.0,0.0,29.67,10.6,16,69.59906401503227,26
2,2008-05-01,61.0,0.05,29.67,9.8,17,69.59906401503227,25
1,2008-05-02,63.0,1.28,29.53,13.8,20,75.11151657294913,23
2,2008-05-02,65.0,0.74,29.52,11.9,19,72.6213654891301,19
1,2008-05-03,50.0,0.05,29.69,10.4,25,71.06976250052685,13
2,2008-05-03,50.0,0.01,29.69,11.2,25,73.86835077002027,12
1,2008-05-04,52.0,0.0,30.02,5.6,24,50.11513290605555,27
2,2008-05-04,53.0,0.0,30.02,5.1,23,46.408839010595536,27
1,2008-05-05,63.0,0.0,29.99,4.4,26,39.51128236375127,25
2,2008-05-05,62.0,0.0,29.99,3.7,23,40.92847578669996,24
