addressnumberandstreet,wnvpresent,risk_bucket
"2500  S MILLARD AVE, Chicago, IL",2.1505376344086025,very low
"2500  S THROOP, Chicago, IL",0.0,very low
"2500  W GRAND AVE, Chicago, IL",0.0,very low
"2700  S WESTERN AVE, Chicago, IL",0.0,very low
"2800  N FRANCISCO AVE, Chicago, IL",4.081632653061225,low
"2900  W 85TH ST, Chicago, IL",0.0,very low
"3000  S HOYNE AVE, Chicago, IL",3.7037037037037033,low
"3000  W 18TH ST, Chicago, IL",0.0,very low
"3300  E RANDOLPH ST, Chicago, IL",0.0,very low
"3300  N RUTHERFORD AVE, Chicago, IL",2.7027027027027026,low
"3300  W 104TH ST, Chicago, IL",5.555555555555555,medium
"3400  W 77TH ST, Chicago, IL",0.0,very low
"3500  W 116TH ST, Chicago, IL",4.081632653061225,low
"3500  W 51ST ST, Chicago, IL",1.2195121951219512,very low
"3600  N PITTSBURGH AVE, Chicago, IL",8.270676691729323,medium
"3700  E 118TH ST, Chicago, IL",1.9736842105263157,very low
"3700  N KEDVALE AVE, Chicago, IL",2.7027027027027026,low
"3700  S PULASKI RD, Chicago, IL",1.9230769230769231,very low
"3800  E 115TH ST, Chicago, IL",6.666666666666667,medium
"3800  N CALIFORNIA AVE, Chicago, IL",0.0,very low
"3900  N SPRINGFIELD AVE, Chicago, IL",9.67741935483871,medium
"3900  S ASHLAND AVE, Chicago, IL",1.7391304347826086,very low
"4000  E 130TH ST, Chicago, IL",8.035714285714286,medium
"4000  N AUSTIN AVE, Chicago, IL",5.555555555555555,medium
"4000  N TRIPP AVE, Chicago, IL",0.0,very low
"4000  S DEARBORN ST, Chicago, IL",6.8181818181818175,medium
"4100  N OAK PARK AVE, Chicago, IL",9.72972972972973,medium
"4200  N RICHMOND ST, Chicago, IL",0.0,very low
"4200  W 127TH PL, Chicago, IL",4.371584699453552,low
"4200  W 31ST ST, Chicago, IL",4.166666666666666,low
"4200  W 65TH ST, Chicago, IL",11.29032258064516,high
"4300  N ASHLAND AVE OVERPASS, Chicago, IL",1.098901098901099,very low
"4500  N CAMPBELL AVE, Chicago, IL",4.081632653061225,low
"4600  N MILWAUKEE AVE, Chicago, IL",11.475409836065573,high
"4700  S CORNELL AVE, Chicago, IL",0.0,very low
"4800  W MONTANA ST, Chicago, IL",1.6666666666666667,very low
"4900  W BALMORAL AVE, Chicago, IL",0.0,very low
"4900  W SUNNYSIDE AVE, Chicago, IL",0.0,very low
"5000  S CENTRAL AVE, Chicago, IL",3.4246575342465753,low
"5000  S UNION AVE, Chicago, IL",8.16326530612245,medium
"5100  N MONT CLARE AVE, Chicago, IL",10.344827586206897,high
"5100  W 72ND ST, Chicago, IL",4.444444444444445,low
"5200  S KOLMAR, Chicago, IL",6.081081081081082,medium
"5200  S NORDICA, Chicago, IL",10.0,high
"5200  W 63RD ST, Chicago, IL",4.587155963302752,low
"5300  N STREETER DR, Chicago, IL",0.0,very low
"5300  W AGATITE AVE, Chicago, IL",0.0,very low
"5500  S DR MARTIN LUTHER KING JR DR, Chicago, IL",0.0,very low
"5800  N PULASKI RD, Chicago, IL",7.526881720430108,medium
"5800  N RIDGE AVE, Chicago, IL",9.523809523809524,medium
"5800  N WESTERN AVE, Chicago, IL",7.6923076923076925,medium
"6000  N AVONDALE AVE, Chicago, IL",16.666666666666664,high
"6000  W MONTROSE DR, Chicago, IL",0.0,very low
"6000  W ROSCOE ST, Chicago, IL",14.285714285714285,high
"6100  N LEMONT AVE, Chicago, IL",3.8095238095238098,low
"6100  S MELVINA AVE, Chicago, IL",0.0,very low
"6100  W FULLERTON AVE, Chicago, IL",9.615384615384617,medium
"6200  N MANDELL AVE, Chicago, IL",0.0,very low
"6200  N MCCLELLAN AVE, Chicago, IL",3.0303030303030303,low
"6300  W 64TH ST, Chicago, IL",6.976744186046512,medium
"6400  S STONY ISLAND AVE, Chicago, IL",3.0303030303030303,low
"6400  W STRONG ST, Chicago, IL",13.333333333333334,high
"6500  E 91ST PL, Chicago, IL",5.128205128205128,medium
"6500  N OAK PARK AVE, Chicago, IL",19.35483870967742,high
"6500  S RACINE AVE, Chicago, IL",0.0,very low
"6600  S KILPATRICK AVE, Chicago, IL",4.761904761904762,low
"6700  S KEDZIE AVE, Chicago, IL",5.172413793103448,medium
"6800  W BELDEN AVE, Chicago, IL",3.4482758620689653,low
"7000   W ARMITAGE AVENUE, Chicago, IL",3.8461538461538463,low
"7000  N MOSELL AVE, Chicago, IL",7.194244604316546,medium
"7100  N HARLEM AVE, Chicago, IL",14.000000000000002,high
"7100  S SOUTH SHORE DR, Chicago, IL",1.2048192771084338,very low
"7200  N OKETO AVE, Chicago, IL",10.606060606060606,high
"7300  S CICERO AVE, Chicago, IL",3.3333333333333335,low
"7500  N OAKLEY AVE, Chicago, IL",0.0,very low
"7700  S EBERHART AVE, Chicago, IL",2.1739130434782608,very low
"7900  S CHICAGO AVE, Chicago, IL",2.7027027027027026,low
"7900  W FOSTER AVE, Chicago, IL",11.428571428571429,high
"8000  S KEDZIE AVE, Chicago, IL",0.0,very low
"8100  E 91ST ST, Chicago, IL",9.090909090909092,medium
"8100  W 37TH PL., Chicago, IL",0.0,very low
"8200  E 138TH ST, Chicago, IL",5.88235294117647,medium
"8200  S KOSTNER AVE, Chicago, IL",10.679611650485436,high
"8900  S CARPENTER ST, Chicago, IL",3.6036036036036037,low
"8900  S MUSKEGON AVE, Chicago, IL",0.0,very low
"9000  W GARFIELD BLVD, Chicago, IL",5.194805194805195,medium
"9100  W HIGGINS AVE, Chicago, IL",9.67741935483871,medium
"9100  W HIGGINS RD, Chicago, IL",7.5,medium
"9300  S DR MARTIN LUTHER KING JR DR, Chicago, IL",4.761904761904762,low
"9600  S HOYNE AVE, Chicago, IL",0.0,very low
"9600  S LONGWOOD DR, Chicago, IL",0.0,very low
"9800  S AVENUE G, Chicago, IL",0.0,very low
