station,date,tmax,tmin,tavg,dewpoint,preciptotal,stnpressure,sealevel,avgspeed,raining,misty,humidity,trange
1,2007-06-04,71,58,65.0,58,0.39,28.82,29.52,9.7,1,1,78.05567169406697,13
2,2007-06-04,72,56,64.0,57,0.31,28.88,29.51,10.1,1,1,77.9727683279775,16
1,2007-06-05,64,47,56.0,48,0.42,29.1,29.79,7.6,1,1,74.45268533078975,17
2,2007-06-05,63,51,57.0,47,0.27,29.16,29.78,8.1,1,1,69.15818623814671,12
1,2007-06-06,71,44,58.0,48,0.01,29.07,29.81,11.4,1,0,69.26922228337513,27
2,2007-06-06,73,48,61.0,47,0.0,29.13,29.82,10.6,1,0,59.937731910787726,25
1,2007-06-07,91,71,81.0,62,0.0,28.84,29.55,23.1,0,0,52.47550009737232,20
2,2007-06-07,92,71,82.0,61,0.0,28.91,29.55,20.7,0,0,49.028793104657076,21
1,2007-06-08,81,57,69.0,53,0.0,29.18,29.85,13.8,0,0,56.686850696229826,24
2,2007-06-08,81,63,72.0,54,0.0,29.24,29.83,12.4,0,0,53.08915754692025,18
1,2007-06-09,79,52,66.0,47,0.0,29.36,30.07,5.0,0,0,50.29229115862627,27
2,2007-06-09,79,57,68.0,49,0.0,29.42,30.05,4.7,0,0,50.59013056579321,22
1,2007-06-10,81,55,68.0,51,0.0,29.34,30.05,5.6,0,0,54.497276281177406,26
2,2007-06-10,81,61,71.0,50,0.0,29.39,30.04,5.8,0,0,47.38959457661924,20
1,2007-06-11,86,58,72.0,52,0.0,29.41,30.11,6.9,0,0,49.33072796792948,28
2,2007-06-11,85,65,75.0,51,0.0,29.47,30.09,8.4,0,0,42.97700637975792,20
1,2007-06-12,83,62,73.0,50,0.0,29.44,30.16,8.8,0,0,44.28716078510459,21
2,2007-06-12,82,66,74.0,51,0.0,29.49,30.14,10.0,0,0,44.44124230610644,16
1,2007-06-13,87,60,74.0,53,0.0,29.36,30.09,8.6,0,0,47.84249406223293,27
2,2007-06-13,86,68,77.0,53,0.0,29.32,29.32,7.9,0,0,43.285691086399886,18
1,2007-06-14,89,64,77.0,55,0.0,29.3,30.02,6.8,0,0,46.56871566103546,25
2,2007-06-14,89,68,79.0,54,0.0,29.36,30.0,6.4,0,0,42.0312913786929,21
1,2007-06-15,91,63,77.0,56,0.0,29.28,29.99,4.9,0,0,48.29099965563686,28
2,2007-06-15,89,67,78.0,56,0.0,29.34,29.97,4.1,0,0,46.71927056208743,22
1,2007-06-16,93,66,80.0,60,0.0,29.26,29.97,5.8,1,1,50.506158550756396,27
2,2007-06-16,92,68,80.0,61,0.0,29.33,29.96,6.1,0,1,52.333551547067955,24
1,2007-06-17,91,70,81.0,64,0.0,29.23,29.95,6.3,0,1,56.298962921134255,21
2,2007-06-17,91,71,81.0,65,0.16,29.28,29.93,6.1,0,1,58.300877006286115,20
1,2007-06-18,89,69,79.0,65,0.28,29.12,29.84,15.1,1,1,62.247329201951004,20
2,2007-06-18,89,73,81.0,65,0.02,29.19,29.83,12.6,1,1,58.300877006286115,16
1,2007-06-19,80,65,73.0,55,0.58,29.26,29.95,11.4,1,0,53.23220547500601,15
2,2007-06-19,81,65,73.0,55,0.93,29.31,29.93,11.3,1,1,53.23220547500601,16
1,2007-06-20,84,61,73.0,52,0.0,29.39,30.1,8.8,0,0,47.6920165941982,23
2,2007-06-20,85,62,74.0,50,0.0,29.46,30.09,7.7,0,0,42.82201462100089,23
1,2007-06-21,77,61,69.0,51,0.01,29.36,30.08,10.7,1,0,52.65682980666182,16
2,2007-06-21,80,66,73.0,51,0.0,29.41,30.06,9.6,1,0,45.9617900026378,14
1,2007-06-22,76,61,69.0,50,0.0,29.33,30.06,8.7,1,0,50.738265153460794,15
2,2007-06-22,75,62,69.0,49,0.0,29.39,30.05,8.1,1,0,48.88163366835733,13
1,2007-06-23,67,62,65.0,58,0.05,29.23,29.96,9.0,1,1,78.05567169406697,5
2,2007-06-23,68,61,65.0,60,0.34,29.28,29.95,8.1,1,1,83.84471247176181,7
1,2007-06-24,77,63,70.0,62,0.0,29.26,29.97,8.0,0,1,75.74671784055894,14
2,2007-06-24,75,65,70.0,62,0.0,29.33,29.96,6.0,0,1,75.74671784055894,10
1,2007-06-25,89,65,77.0,66,0.0,29.38,30.07,6.8,0,1,68.85131182953751,24
2,2007-06-25,86,67,77.0,67,0.0,29.44,30.06,5.9,0,1,71.27854110531861,19
1,2007-06-26,92,70,81.0,69,0.16,29.39,30.11,7.1,0,1,66.9476486991263,22
2,2007-06-26,91,73,82.0,69,0.0,29.45,30.09,8.1,0,1,64.80371344799588,18
1,2007-06-27,91,71,81.0,70,0.15,29.29,30.02,8.8,0,0,69.27758930469994,20
2,2007-06-27,89,71,80.0,69,0.35,29.36,30.0,8.5,1,1,69.17177159414872,18
1,2007-06-28,74,58,66.0,55,0.0,29.41,30.09,12.5,0,0,67.63664253243361,16
2,2007-06-28,73,61,67.0,56,0.0,29.43,30.07,13.3,0,0,67.74970265494606,12
1,2007-06-29,70,56,63.0,55,0.0,29.41,30.13,8.3,0,0,75.11151657294913,14
2,2007-06-29,71,56,64.0,56,0.0,29.47,30.11,8.2,0,0,75.20368187494536,15
1,2007-06-30,79,54,67.0,46,0.0,29.41,30.13,5.8,0,0,46.77886660025213,25
2,2007-06-30,77,58,68.0,49,0.0,29.46,30.11,6.2,0,0,50.59013056579321,19
1,2007-07-01,75,54,65.0,52,0.0,29.51,30.23,8.6,0,0,62.7427719811493,21
2,2007-07-01,76,61,69.0,51,0.0,29.56,30.21,9.7,0,0,52.65682980666182,15
1,2007-07-02,79,53,66.0,50,0.0,29.49,30.22,8.1,0,0,56.27110197801161,26
2,2007-07-02,77,58,68.0,50,0.0,29.55,30.21,8.5,0,0,52.51165450423614,19
1,2007-07-03,83,60,72.0,57,0.4,29.31,30.06,7.3,1,1,59.200051291818134,23
2,2007-07-03,83,63,73.0,56,0.09,29.38,30.05,7.4,1,0,55.200930061577466,20
1,2007-07-04,86,67,77.0,65,0.16,29.18,29.9,8.2,0,1,66.49695902904085,19
2,2007-07-04,84,67,76.0,65,0.66,29.23,29.88,8.8,1,1,68.74348058795903,17
1,2007-07-05,89,71,80.0,60,0.0,29.24,29.94,8.1,0,1,50.506158550756396,18
2,2007-07-05,88,70,79.0,60,0.0,29.29,29.92,6.9,0,1,52.19109419072684,18
1,2007-07-06,86,66,76.0,57,0.0,29.32,30.03,5.5,0,0,51.76065673239512,20
2,2007-07-06,84,68,76.0,57,0.0,29.38,30.01,5.5,0,0,51.76065673239512,16
1,2007-07-07,90,64,77.0,63,0.0,29.18,29.91,8.6,0,0,61.99943468829765,26
2,2007-07-07,88,68,78.0,62,0.0,29.24,29.9,8.1,0,0,57.904610033841074,20
1,2007-07-08,94,75,85.0,67,0.0,29.05,29.77,13.1,0,0,54.90799943648251,19
2,2007-07-08,93,75,84.0,67,0.0,29.12,29.76,12.7,0,0,56.702052433516606,18
1,2007-07-09,94,70,82.0,66,0.3,29.11,29.8,8.8,1,0,58.43191052377349,24
2,2007-07-09,93,72,83.0,67,0.24,29.16,29.79,8.8,1,0,58.56241959730853,21
1,2007-07-10,89,69,79.0,67,0.43,29.06,29.77,10.5,0,1,66.72333408930567,20
2,2007-07-10,89,70,80.0,67,0.08,29.13,29.76,10.2,0,1,64.56924007445551,19
1,2007-07-11,77,62,70.0,51,0.0,29.23,29.93,10.9,0,0,50.88587779810227,15
2,2007-07-11,77,63,70.0,51,0.0,29.28,29.92,11.2,0,0,50.88587779810227,14
1,2007-07-12,80,61,71.0,51,0.0,29.22,29.93,11.1,0,0,49.18153603952177,19
2,2007-07-12,80,60,70.0,51,0.0,29.28,29.92,11.4,0,0,50.88587779810227,20
1,2007-07-13,78,58,68.0,52,0.0,29.26,29.98,5.3,0,0,56.54882032643535,20
2,2007-07-13,74,59,67.0,53,0.0,29.33,29.98,5.8,0,0,60.72752109564434,15
1,2007-07-14,84,61,73.0,55,0.0,29.08,29.79,13.2,0,0,53.23220547500601,23
2,2007-07-14,85,62,74.0,55,0.0,29.14,29.79,13.9,0,0,51.47113160447879,23
1,2007-07-15,82,60,71.0,53,0.0,29.19,29.89,4.9,0,0,52.9455799128056,22
2,2007-07-15,80,64,72.0,52,0.0,29.25,29.88,6.5,0,0,49.33072796792948,16
1,2007-07-16,82,65,74.0,60,0.39,29.25,29.96,5.2,1,1,61.62357940507553,17
2,2007-07-16,82,66,74.0,60,0.07,29.31,29.94,6.6,1,0,61.62357940507553,16
1,2007-07-17,83,68,76.0,66,0.11,29.18,29.9,6.5,1,1,71.1773724290501,15
2,2007-07-17,83,69,76.0,65,0.11,29.24,29.89,7.4,1,1,68.74348058795903,14
1,2007-07-18,85,69,77.0,68,1.55,29.11,29.84,10.1,1,1,73.78055835142726,16
2,2007-07-18,85,69,77.0,69,0.92,29.18,29.83,10.6,1,1,76.35931535226167,16
1,2007-07-19,83,63,73.0,63,0.16,29.21,29.9,11.9,1,1,70.87089690607739,20
2,2007-07-19,82,63,73.0,62,0.01,29.26,29.88,14.4,0,1,68.41691426823859,19
1,2007-07-20,75,58,67.0,53,0.0,29.44,30.14,9.1,0,0,60.72752109564434,17
2,2007-07-20,74,62,68.0,52,0.0,29.49,30.12,11.5,0,0,56.54882032643535,12
1,2007-07-21,74,58,66.0,52,0.0,29.51,30.22,7.4,0,0,60.59729912087231,16
2,2007-07-21,75,58,67.0,52,0.0,29.57,30.21,7.4,0,0,58.53379534850804,17
1,2007-07-22,81,58,70.0,55,0.0,29.49,30.21,3.3,0,0,58.9352047117653,23
2,2007-07-22,81,61,71.0,54,0.0,29.54,30.2,3.5,0,0,54.92109027968242,20
1,2007-07-23,83,60,72.0,55,0.0,29.37,30.1,4.0,0,0,55.06127932824511,23
2,2007-07-23,82,63,73.0,55,0.0,29.42,30.09,3.9,0,0,53.23220547500601,19
1,2007-07-24,82,65,74.0,58,0.0,29.32,30.04,5.2,0,0,57.36879214984288,17
2,2007-07-24,82,65,74.0,57,0.0,29.38,30.03,4.9,0,0,55.34004418727664,17
1,2007-07-25,85,71,78.0,61,0.0,29.29,30.0,6.6,0,0,55.89116901040809,14
2,2007-07-25,83,70,77.0,60,0.0,29.35,29.99,7.0,0,0,55.754184100364554,13
1,2007-07-26,83,66,75.0,65,0.19,29.19,29.92,9.4,1,1,71.07571072806151,17
2,2007-07-26,84,64,74.0,65,0.89,29.25,29.91,9.9,1,1,73.49727560438572,20
1,2007-07-27,83,70,77.0,68,0.17,29.11,29.82,7.9,1,1,73.78055835142726,13
2,2007-07-27,83,70,77.0,67,0.04,29.16,29.8,8.1,1,1,71.27854110531861,13
1,2007-07-28,80,66,73.0,65,0.0,29.23,29.93,10.2,0,1,76.01196932855785,14
2,2007-07-28,80,70,75.0,65,0.0,29.28,29.91,10.7,0,1,71.07571072806151,10
1,2007-07-29,85,63,74.0,57,0.0,29.28,29.99,5.7,0,0,55.34004418727664,22
2,2007-07-29,85,67,76.0,56,0.0,29.34,29.97,6.9,0,0,49.922454287730936,18
1,2007-07-30,89,62,76.0,55,0.0,29.33,30.03,4.3,0,0,48.141984953815566,27
2,2007-07-30,86,65,76.0,57,0.0,29.39,30.01,4.6,0,0,51.76065673239512,21
1,2007-07-31,91,68,80.0,61,0.0,29.33,30.04,4.9,0,0,52.333551547067955,23
2,2007-07-31,89,69,79.0,60,0.0,29.39,30.02,5.0,0,0,52.19109419072684,20
1,2007-08-01,92,69,81.0,62,0.0,29.29,30.0,4.1,0,1,52.47550009737232,23
2,2007-08-01,91,69,80.0,63,0.0,29.34,29.98,3.7,0,0,56.1635566720445,22
1,2007-08-02,91,70,81.0,66,0.0,29.26,29.97,5.9,0,1,60.365044075809024,21
2,2007-08-02,91,73,82.0,66,0.0,29.31,29.95,7.2,0,0,58.43191052377349,18
1,2007-08-03,90,69,80.0,56,0.0,29.31,30.02,5.7,0,0,43.74546815700187,21
2,2007-08-03,88,73,81.0,58,0.0,29.36,30.0,5.8,0,0,45.50714115078846,15
1,2007-08-04,81,64,73.0,58,0.03,29.31,30.03,6.1,1,0,59.331653227294,17
2,2007-08-04,81,68,75.0,58,0.02,29.36,30.01,6.6,1,0,55.478623420120435,13
1,2007-08-05,88,67,78.0,71,1.43,29.08,29.81,9.6,1,1,79.09417564153422,21
2,2007-08-05,88,68,78.0,71,0.97,29.15,29.79,10.2,1,1,79.09417564153422,20
1,2007-08-06,88,74,81.0,72,0.26,29.13,29.83,4.9,1,1,74.15172617530648,14
2,2007-08-06,85,75,80.0,72,0.05,29.17,29.81,4.6,1,1,76.61518165278144,10
1,2007-08-07,91,72,82.0,73,1.31,29.06,29.76,9.0,1,1,74.24336845181534,19
2,2007-08-07,92,73,83.0,73,0.06,29.11,29.74,8.8,0,0,71.87535626747479,19
1,2007-08-08,87,73,80.0,71,0.06,29.13,29.83,6.9,1,1,74.05962679431985,14
2,2007-08-08,87,74,81.0,72,0.09,29.18,29.81,6.4,1,1,74.15172617530648,13
1,2007-08-09,84,72,78.0,71,0.05,29.13,29.84,6.0,1,0,79.09417564153422,12
2,2007-08-09,85,73,79.0,71,0.46,29.19,29.82,6.3,0,1,76.53032954125824,12
1,2007-08-10,86,70,78.0,68,0.0,29.26,29.96,5.9,0,1,71.37921957347292,16
2,2007-08-10,86,73,80.0,69,0.0,29.32,29.94,5.4,0,0,69.17177159414872,13
1,2007-08-11,89,67,78.0,65,0.0,29.31,30.02,3.9,0,1,64.33267984899061,22
2,2007-08-11,88,68,78.0,65,0.0,29.38,30.0,3.9,0,1,64.33267984899061,20
1,2007-08-12,88,67,78.0,67,0.29,29.34,30.06,5.4,0,0,68.9586355825529,21
2,2007-08-12,87,68,78.0,67,0.23,29.4,30.04,6.6,0,0,68.9586355825529,19
1,2007-08-13,81,65,73.0,57,0.0,29.39,30.11,6.9,0,1,57.23349208270923,16
2,2007-08-13,80,69,75.0,54,0.0,29.44,30.08,7.7,0,0,47.992483305857384,11
1,2007-08-14,84,65,75.0,67,0.41,29.23,29.93,8.0,1,1,76.18653608667044,19
2,2007-08-14,84,65,75.0,66,0.45,29.29,29.92,9.0,1,1,73.59217615810955,19
1,2007-08-15,80,71,76.0,67,0.23,29.17,29.89,5.8,1,1,73.68660279143874,9
2,2007-08-15,81,72,77.0,69,0.83,29.23,29.87,7.1,1,1,76.35931535226167,9
1,2007-08-16,77,65,71.0,64,0.0,29.28,29.97,5.7,0,1,78.543897108773,12
2,2007-08-16,77,67,72.0,65,0.0,29.33,29.95,5.7,0,1,78.62376240366078,10
1,2007-08-17,79,60,70.0,54,0.0,29.41,30.1,6.8,0,0,56.82433111207962,19
2,2007-08-17,80,65,73.0,54,0.0,29.46,30.08,7.4,0,0,51.325595364126016,15
1,2007-08-18,68,59,64.0,54,0.09,29.44,30.16,8.1,1,0,69.92407087163488,9
2,2007-08-18,69,60,65.0,54,0.42,29.48,30.15,7.0,1,0,67.52304382783947,9
1,2007-08-19,68,62,65.0,62,1.33,29.24,29.99,7.4,1,1,90.0080801386818,6
2,2007-08-19,69,62,66.0,63,1.33,29.3,29.98,7.5,1,1,90.04829834149889,7
1,2007-08-20,78,68,73.0,68,0.91,29.15,29.87,5.7,1,1,84.33777454399561,10
2,2007-08-20,76,68,72.0,69,0.48,29.21,29.85,5.9,1,1,90.28468000981043,8
1,2007-08-21,87,69,78.0,70,0.0,29.21,29.91,6.0,0,1,76.44504169240159,18
2,2007-08-21,85,69,77.0,70,0.01,29.26,29.89,6.0,0,1,79.01680479229573,16
1,2007-08-22,90,69,80.0,71,0.37,29.23,29.94,9.5,1,0,74.05962679431985,21
2,2007-08-22,90,70,80.0,70,0.88,29.29,29.93,8.4,1,1,71.5791170727178,20
1,2007-08-23,87,69,78.0,69,2.35,29.15,29.87,11.7,1,1,73.87404566725823,18
2,2007-08-23,89,70,80.0,69,1.96,29.21,29.86,9.1,1,1,69.17177159414872,19
1,2007-08-24,80,69,75.0,67,0.24,29.11,29.82,7.1,1,0,76.18653608667044,11
2,2007-08-24,81,69,75.0,67,0.2,29.16,29.81,7.3,1,1,76.18653608667044,12
1,2007-08-25,79,64,72.0,63,0.34,29.23,29.93,5.6,1,0,73.30604125769314,15
2,2007-08-25,76,65,71.0,63,0.25,29.29,29.91,6.4,1,1,75.83559235050328,11
1,2007-08-26,79,60,70.0,55,0.0,29.38,30.08,5.4,0,0,58.9352047117653,19
2,2007-08-26,78,61,70.0,55,0.0,29.44,30.07,4.6,0,0,58.9352047117653,17
1,2007-08-27,79,60,70.0,60,0.0,29.36,30.07,7.4,0,0,70.55990715762363,19
2,2007-08-27,79,63,71.0,59,0.0,29.41,30.06,7.3,0,0,65.80525853476206,16
1,2007-08-28,91,67,79.0,66,0.0,29.28,29.99,9.5,0,0,64.45122207118804,24
2,2007-08-28,90,69,80.0,65,0.0,29.34,29.98,8.3,0,0,60.23773838781599,21
1,2007-08-29,85,68,77.0,65,0.0,29.34,30.04,8.2,0,0,66.49695902904085,17
2,2007-08-29,86,69,78.0,64,0.0,29.39,30.02,8.8,0,0,62.123647934918836,17
1,2007-08-30,75,57,66.0,54,0.0,29.47,30.18,9.9,0,0,65.21411080812129,18
2,2007-08-30,75,60,68.0,54,0.0,29.51,30.15,10.9,0,0,60.85718486364794,15
1,2007-08-31,77,57,67.0,52,0.0,29.47,30.19,5.2,0,0,58.53379534850804,20
2,2007-08-31,76,57,67.0,54,0.0,29.52,30.17,4.6,0,0,62.99339197054547,19
1,2007-09-01,81,57,69.0,55,0.0,29.49,30.22,5.0,0,0,60.98629282649291,24
2,2007-09-01,79,60,70.0,56,0.0,29.54,30.2,4.4,0,0,61.11484738287635,19
1,2007-09-02,85,61,73.0,57,0.0,29.41,30.15,5.0,0,0,57.23349208270923,24
2,2007-09-02,84,62,73.0,56,0.0,29.47,30.13,6.0,0,0,55.200930061577466,22
1,2007-09-03,88,66,77.0,61,0.0,29.36,30.09,5.8,0,0,57.7714589924489,22
2,2007-09-03,88,64,76.0,61,0.0,29.42,30.07,6.2,0,0,59.72319979400966,24
1,2007-09-04,89,63,76.0,60,0.0,29.28,30.0,4.3,0,0,57.63777364205565,26
2,2007-09-04,90,67,79.0,59,0.0,29.34,29.99,5.0,0,0,50.36098121213036,23
1,2007-09-05,90,66,78.0,63,0.0,29.24,29.96,6.5,1,0,59.98153661250495,24
2,2007-09-05,91,72,82.0,62,0.0,29.31,29.94,6.7,0,0,50.79502174353099,19
1,2007-09-06,82,73,78.0,67,0.18,29.21,29.92,12.1,1,1,68.9586355825529,9
2,2007-09-06,84,74,79.0,66,0.08,29.27,29.91,13.0,0,1,64.45122207118804,10
1,2007-09-07,84,70,77.0,68,0.19,29.15,29.85,13.9,1,1,73.78055835142726,14
2,2007-09-07,84,71,78.0,67,0.67,29.21,29.84,13.0,1,1,68.9586355825529,13
1,2007-09-08,78,64,71.0,57,0.0,29.3,30.0,7.2,0,0,61.24285092838859,14
2,2007-09-08,78,68,73.0,58,0.0,29.34,29.98,9.4,0,0,59.331653227294,10
1,2007-09-09,80,63,72.0,59,0.0,29.36,30.06,9.9,0,0,63.61027648899768,17
2,2007-09-09,79,63,71.0,59,0.0,29.41,30.03,10.9,0,0,65.80525853476206,16
1,2007-09-10,74,54,64.0,58,0.36,29.3,30.04,9.0,1,1,80.83122457253185,20
2,2007-09-10,73,55,64.0,59,0.25,29.34,30.01,9.7,1,0,83.78150430151231,18
1,2007-09-11,71,50,61.0,44,0.0,29.2,29.92,13.5,0,0,53.489222585624475,21
2,2007-09-11,71,51,61.0,44,0.0,29.26,29.91,13.7,0,0,53.489222585624475,20
1,2007-09-12,67,46,57.0,42,0.0,29.4,30.12,5.6,0,0,57.15918089979204,21
2,2007-09-12,66,46,56.0,43,0.0,29.46,30.11,6.0,0,0,61.5869532980018,20
1,2007-09-13,78,50,64.0,45,0.0,29.23,29.99,8.5,0,0,49.99235094090568,28
2,2007-09-13,79,53,66.0,43,0.0,29.3,29.98,7.7,0,0,43.19591684569223,26
1,2007-09-14,66,45,56.0,39,0.0,29.36,30.05,13.4,0,0,52.75252146814352,21
2,2007-09-14,67,47,57.0,40,0.0,29.41,30.04,13.0,0,0,52.900984227741645,20
1,2007-09-15,61,39,50.0,33,0.0,29.56,30.28,5.9,0,0,51.8498399585023,22
2,2007-09-15,62,42,52.0,35,0.0,29.62,30.28,6.6,0,0,52.153011439233396,20
1,2007-09-16,71,44,58.0,40,0.0,29.46,30.19,7.4,0,0,51.03023255339122,27
2,2007-09-16,72,49,61.0,38,0.0,29.52,30.2,8.2,0,0,42.40289605084187,23
1,2007-09-17,80,52,66.0,49,0.0,29.39,30.12,12.1,0,0,54.212011086396494,28
2,2007-09-17,80,55,68.0,48,0.0,29.46,30.12,11.0,0,0,48.73092155991871,25
1,2007-09-18,88,63,76.0,58,0.0,29.34,30.06,13.1,0,0,53.65818551881196,25
2,2007-09-18,89,66,78.0,57,0.0,29.41,30.05,12.8,0,0,48.43952808118265,23
1,2007-09-19,84,65,75.0,59,0.0,29.41,30.11,9.7,0,0,57.503552015891614,19
